address;LP wei;LP ether;BCOIN;SOY
0xf5f1fc2f782160a0064cb66da105464cbc5d63d0;36174126036564335605;36.17412603656434;6.75134562904782;207.79274190771272
0xbaea184b88a97385ed0c3d04518992d350da29b4;2639886610138432314110;2639.8866101384324;492.69433374907055;15164.13351608427
0x4054d57a73c95ec89b260cb492856c2770a04a8e;652464575970787680982;652.4645759707877;121.77250277273833;3747.910954409326
0x1e6cf55f15ac59c44cee85000fab5ff85b9b93d8;1235097712605617829300;1235.0977126056177;230.51203877098172;7094.6935930629725
0x9d1546285064587ebb7c677edb816c993117eeea;704757096949465;0.000704757096949465;0.0001315320995238646;0.004048291571882786
0x540a623c7ed0c09e1b3916a83d93f2f59d44ea89;618462678904659759679;618.4626789046598;115.4265703539509;3552.5960098466585
0x84cf92d66bd0cd371bca5a064c00370d0a53ab62;134976263228734204;0.1349762632287342;0.025191248680159442;0.7753356031437009
0x422d7574f0bf8de8e4802320fae2452420bbfb9e;1186588407465153451;1.1865884074651534;0.22145852121268092;6.816044662803085
0xca452e43201eb5dba105bb3937fc1bd540cdc1cd;2332269640830596200323;2332.269640830596;435.28234599135203;13397.10883537171
0x2cd98cec7f271187db13fe75a7cbfed1e2d009fa;45595084931615212786;45.59508493161521;8.509623067271225;261.90895962154923
0x06741053995d7c2a8ce02415c66121a5fc06d5c1;92301858377439304209;92.3018583774393;17.22672573981834;530.2037211911892
0x965f7fbe05e87d63dd460ee0fab64816ffb53c9a;26151804276190512394;26.15180427619051;4.880833038324367;150.22215356055042
0x9fb9052af56f5c1acef81a7a028e579fc9dfa058;91481527295027364;0.09148152729502737;0.017073623529083082;0.5254915452919235
0x110692e1b764436ff5b754b309df1bd7463a5625;2421371612866197623496;2421.3716128661977;451.91186203920495;13908.93165204315
0x4401e644e2ddc8bea9d023847ae29458f03928af;68507812859363452820;68.50781285936345;12.78593220016374;393.52509198863874
0xfebb148d5961d84fd7ae2a7dc3bafab15234119f;64018512629982160832;64.01851262998215;11.948073188712266;367.7374889110369
0xab11889a8bb91e9688cff5274a8df348aacd1d45;10017290580746209278912;10017.290580746208;1869.573598236018;57541.688060565306
0x5c300dbc6abf06c622b0a043425e158dea14e795;1897671594552635474;1.8976715945526355;0.3541712884037918;10.900674793743393
0x1c37db8ee00271d0abd6457a19b68770d360ec15;58142638462163519;0.05814263846216352;0.010851431424937812;0.33398507694670637
0x94d4ccdaf383a6823db018d24564582fbc4d2575;1815950714751021482;1.8159507147510214;0.3389193399781991;10.431250717874253
