address;LP wei;LP ether;RACA;SOY
0x7cb3e285fd78211eb8b5b5ea9856a6dc02157b95;10766027259265864785;10.766027259265865;17.550457004659435;6.947028758067393
0xbaea184b88a97385ed0c3d04518992d350da29b4;17901086947458682774152;17901.086947458683;29181.818812287423;11551.091487124879
0x46a083a0e75cfce61a3dc49955b609659e5e9e28;7885555665530990410;7.88555566553099;12.854797998643319;5.0883376627750225
0x540a623c7ed0c09e1b3916a83d93f2f59d44ea89;51468427484837988555;51.46842748483799;83.90229765512191;33.211196410630045
0xef24e642e001af91088de0995033e338a34fa37a;335105244413682507365;335.1052444136825;546.2785893521199;216.23443019963153
0x9c14ad05237b976f8408e1dbafe57f306aff5269;416534270834670044533;416.53427083467005;679.0217631075865;268.7783978736094
0x4edbf18617476312aecfe1582bd35c2125fa62b5;1331885080517463396481;1331.8850805174634;2171.1993921110566;859.4297352194018
0x965f7fbe05e87d63dd460ee0fab64816ffb53c9a;311143230879484909393;311.1432308794849;507.2164285244053;200.77238527679322
0x2b9a82495e895b0fdbf8d360fd13a73e6ec81d15;8370600099755354984360;8370.600099755355;13645.502989741823;5401.32383235741
0xdf3c52d232f9641c1b0978705ac5bb2658c49d5d;68085465707157480806;68.08546570715748;110.9908984771755;43.93372568019
0xea1244d2f6bcf834ca7cb5029d06e072d1843a32;192313927941096170158;192.31392794109618;313.50443784381946;124.09502185068757
0x5c300dbc6abf06c622b0a043425e158dea14e795;236954164021152412753;236.95416402115242;386.2756212277911;152.90016940854497
0x1c37db8ee00271d0abd6457a19b68770d360ec15;548909011784372705;0.5489090117843727;0.89481512342452;0.35419626930132986
