address;LP wei;LP ether;CLOE;SOY
0x6b49bd38793759f08ac371de29b84a5535089ebb;1092398061765742063292;1092.398061765742;3280.28204648087;400.876245326544
0x91084b534ecf16391fb9eb76ab59943d60b24b8d;61371139390;6.137113939e-8;1.8428689482265177e-7;2.2521306830504944e-8
0xfe5c5e85a0bc68b7c3db0be25fac35fc69e9fda9;15676152638340319631;15.67615263834032;47.07276940268743;5.752662358871221
0xd70d71a48f38995fd8669631f2a3a76796cb2877;193835475848655487570;193.83547584865548;582.054338662651;71.13161446267391
0x24a9c30445cf3c4405426d2e43607aac95fb062e;296709327626442604000;296.7093276264426;890.9666855900612;108.88313095319135
0x1d64fbcbfc4f14ea9f8222d50c654eccde465a24;4523177130412036943;4.523177130412037;13.58231697148986;1.659865875316159
0x1ce1116f45e33448dcd170522c5dbd47c3a8f0ed;7130378487474975587;7.130378487474975;21.41129077002459;2.616628000232662
0xebc25bbead98a626a0076261b4ad6c69f361aab6;343882209353615913;0.3438822093536159;1.032618673474671;0.12619411709450293
0x036528d1372fa01c208a5b0aeca5803ff2b0bc15;1544516946750088824087;1544.516946750089;4637.916697435733;566.7898691211412
0x5e89d968d5a62c6cac04d2d8837f1d5e5f79b413;885420000542612554848;885.4200005426126;2658.7628017943616;324.92170919895364
0x41a4040abb4e1c72d702ee967e555d22700f8b87;28102426;2.8102426e-11;8.438671460232367e-11;1.0312719706987985e-11
0x6b93123c0118a562c49a9a32a240c809a06ba9a2;6260371241023434220145;6260.371241023434;18798.809797447357;2297.362294286024
0x96409cba8820e29abea15da97839a0824e2284dd;717102293935364;0.000717102293935364;0.0021533339014573037;0.00026315432548754044
0x5c3062f7c9927d6e3d24d2812562cbbb91f4fc8f;78289784182417550854644;78289.78418241756;235090.65281691993;28729.92531654932
0x73d647058bf961e736573f1033bf415080928d66;297317774481122378278;297.3177744811224;892.7937460394525;109.10641209870211
0xec5331d465ed036eedf936f9aa0cebb8354b9907;418011049092317798510;418.0110490923178;1255.2147312965553;153.3971047095033
0xa9331c43a81f305a3009402b4d92de5573610cb7;62984323511436236;0.06298432351143624;0.18913100714436518;0.023113295425373426
0xc5db9982de66a743a496edf835560e535eedb7a3;50000;5e-14;1.501413340654712e-13;1.8348450961116286e-14
0xa13efad58ac9f32bc71b00a4bb14fd97e5d19677;130746996894249641813;130.74699689424963;392.61057077513317;47.98009721654726
0x60454abe4954f99b586ecb91d185b2d5625cdf16;52843050710000000;0.05284305071;0.15867852259377488;0.019391762491764324
0xdee625ff95fec111c9c21d9939e646c2ebf12413;2025040995364705588448;2025.0409953647056;6080.847131626531;743.1273079539883
0x1525383d5bc737c65fe06350052328a2a92d0326;807797;8.07797e-13;2.4256743846817086e-12;2.9643647282073707e-13
0x875e95cdf53b99dbc53dfd8ba73c565225381cd8;245773750947889621498;245.77375094788962;738.0159769118202;90.1913523359392
0x20c768a0c430eae63434e3750559a468c582d2a3;527221;5.27221e-13;1.5831532857466359e-12;1.934737732834138e-13
0x54542a2a38638fa2dc53d921fb46c70e7821a554;2028596;2.028596e-12;6.091522194397573e-12;7.444318845183331e-13
0x316ef11df31ae9181f942a8c5216bc49ad4eada6;1296063521751176;0.001296063521751176;0.003891854123786288;0.0004756151594268625
0x31f70b68004706fd458696d35548b6284f49470e;19981380466362536905027;19981.380466362538;60000.62239378836;7332.5475924491975
0x615ff929f833d0ded0287fb4ef19dc83ef5bfad5;7023152465586629817;7.02315246558663;21.089309610567597;2.5772793721451843
0xb48c175f1ef0ef1999d082a2acf7e65db83de833;37798409821925074;0.037798409821925075;0.1135020735243448;0.013870845380515369
0xfe2ed9ae0dac76f6a15ecc9ee4b4857c3d878be8;37128976458848718084298;37128.976458848716;111491.88116034042;13625.184075832534
0xde56df57a2b3c56e1ec0b80fe1a20b5a0fa1a6e7;30008643664119249725873;30008.64366411925;90110.75586452427;11012.242533614099
0xaf0ad4d136d23a3c8d1d78ea90e43ab17a727e1f;1337546531451422855;1.3375465314514228;4.016420412135207;0.4908381388109523
0x71500f06ee04ae1e6acecf3edd195352e0043c9c;329552554355427521446;329.5525543554275;989.5892031121518;120.93557765402342
0xb19e6d95a7b6aa42bb9e169f4c13b5038551b8e1;799595481925080188339;799.5954819250802;2401.046647379098;293.42676977664956
0x4d26937dbfad1356fe624fc5e2cc3e167a3596da;134115977954367306676848;134115.97795436732;402727.0369912807;49216.40889195723
0xe9436b3f5f0e5284f41ff3c709d4cb62009322dc;7874141622811132574297;7874.141622811133;23644.682557386353;2889.566028540694
0x85a25e412e75bd71b656cc8b62069a1cfc78cbb7;29468965796668995994;29.468965796668996;88.49019676483248;10.814197475899885
0x88855e76fee93612df5cf72825d377e94281dafe;2516033955772830269224;2516.0339557728303;7555.213893475149;923.3065130800239
0xf87f31f4759a62962e16f75a98d4b48aa5806f69;49498178628;4.9498178628e-8;1.486344514603783e-7;1.8164298064408645e-8
0xbc18d2ffb43c23935a40330078120acf891cc119;7224566640742105272;7.224566640742105;21.694121469718386;2.6511921344594627
0x598d425f3d9595e784a370026d66e545691e5bde;1536452949069391328;1.5364529490693912;4.613701910042117;0.5638306318012445
0x9a794d1ad5fcde0680b7bce375248a97c0c3e74c;231184503100653;0.000231184503100653;0.000694206994215902;0.00008483755036224735
0xfa75b1792cf9449f2ec2cdc17255433b2a728450;32334;3.2334e-14;9.70933979134589e-14;1.186557626753468e-14
0x0459380293ea3d2cc84fcaf6639e94fe09792094;95385716457057708266;95.38571645705771;286.4267743930683;35.003602816065325
