address;LP wei;LP ether;ETH;SOY
0x2cd17f7adfa97d60bf7931f1fe1f7328db3760a0;974495924505174687;0.9744959245051746;0.00034648788797356076;3018.7247363752826
0x0372177fd6567bd7d971738cf000a51defcb1af1;3823068454855391755;3.8230684548553917;0.0013593149865391305;11842.831789561495
0xbaea184b88a97385ed0c3d04518992d350da29b4;500000000000000000;0.5;0.00017777800771691214;1548.8647312240519
0x45a393046e2c9b6b7c9bf42f03549967ff2aec4c;460013543883;4.60013543883e-7;1.6356058270863215e-10;0.001424997508011533
0xd2b3d75eebb5ca713c2797eeb44d4df73b194744;2210183285779502304;2.2101832857795025;0.0007858439624701972;6846.549881769522
0x4d26937dbfad1356fe624fc5e2cc3e167a3596da;150409050295968466400;150.40905029596846;0.053478842608420216;465926.54652066017
0xf377dd34c80684daff4f5ac08d528eb78cc49a0d;6824853642427167;0.006824853642427167;0.0000024266177670204257;21.14155020504289
0x4751c1fc6f601e334f30011eaccb321c09c37334;136054640256209955;0.13605464025620995;0.00004837504577078039;421.4604676244394
0x540a623c7ed0c09e1b3916a83d93f2f59d44ea89;1474108042469772432;1.4741080424697723;0.0005241279818995069;4566.387913990315
0x8f06c2a1e7e1c0c89504601391ccced64ac449c6;1531945925939106389;1.5319459259391064;0.0005446925892869892;4745.554029658911
0x39fc253804700b17302b45186ac81eb98558b2c0;492996090545690093;0.4929960905456901;0.00017528772557887844;1527.1685145551173
0x65f6e80ef3a935349edd32743bfb60f71caf9ef7;69983470985210443;0.06998347098521045;0.00002488304408973008;216.7898599552684
0xba9bce12f81ab8fd8ada9583695c50ae83d11391;335947452365585356;0.3359474523655854;0.00011944813755825202;1040.6743210272548
0x771827fd3f1316d48df7e3a5d17f44818dbe2468;1136728163079303;0.001136728163079303;4.041705362958874e-7;3.5212763215652694
0x84e9c9d9d632c39f6366d53a541d9873007a2a96;65619537000020633;0.06561953700002063;0.00002333142111033974;203.27157307716735
0xa5b61853c5e5097207389fe43b4b503542642242;1870885601753009910;1.87088560175301;0.0006652046298918128;5795.497449420249
0xfe605191443d67ef5e094f25320f2eb455b1ab4c;4775829669023524;0.004775829669023524;0.000001698074967508644;14.794228273367946
0xbc18d2ffb43c23935a40330078120acf891cc119;16037195282916187;0.016037195282916188;0.000005702121253527802;49.678892322923225
0xafaa3800b6a2b4f1439b4c9ab7f7850b82797e2e;54094050703164889;0.05409405070316489;0.00001923346512669257;167.56873460635546
0x4d4ac7416da599e7fc282e59d3540831f1811812;1488594425983986068;1.488594425983986;0.0005292787026998669;4611.262811006617
0x5233823a951bed0e24feea666ea7b4490bd9592d;9934704212056806399;9.934704212056806;0.003532343844152549;30775.02593839564
0x6269ba44d7ddb277d5cf374ae35deb67f5db226b;4141530985330657527;4.141530985330657;0.0014725462549398888;12829.342552900504
0xf4e0280680a7ff759b367229db9281e92de64944;3866136897705177938;3.8661368977051778;0.0013746282304697398;11976.246173879039
0x948acc72bdb8babdf04267828fa1ec0cd1f4eaf5;1525;1.525e-15;5.42222923536582e-19;4.724037430233358e-12
0x1c37db8ee00271d0abd6457a19b68770d360ec15;352020925976085;0.000352020925976085;1.2516315778938199e-7;1.0904655937943815
0xaf0ad4d136d23a3c8d1d78ea90e43ab17a727e1f;1114459749789249473;1.1144597497892494;0.00039625286799644234;3452.2948016347
0x8713209529d9ab99422860bfb1faa8283a1cc540;74201178667592033639;74.20117866759203;0.026382675427542305;229855.17730697556
0xb986c5eae462a9ce1b14a72e0c81d219d16a4871;643906504255065;0.000643906504255065;2.2894483096485373e-7;1.99464814929288
0xd44d590788e82355f74569bb28a40a92fa34c326;114764779252835758;0.11476477925283576;0.00004080530762328071;355.5102379428622
0xb725f68853ecf8a1d17a9492b65498d1d35cb85b;1508346462198776912;1.508346462198777;0.0005363016579931026;4672.449275532516
0xd931093cacdc5e957c03fae12325bdcb0c34a6cd;5735427842432108;0.005735427842432108;0.000002039265870463376;17.7668038072471
0xcbd36532cad6e0a58cfd0aabe2774a61fee20e0f;284335759819847602;0.2843357598198476;0.0001010972898068939;880.7952604215096
0xc77096bfeb8d53743684a56cd5c20d39b69c471e;55336750463601095;0.05533675046360109;0.000019675314501893834;171.41828226723587
0xf1602175601606e8ffee38ce433a4db4c6cf5d60;5300000000000000;0.0053;0.0000018844468817992688;16.41796615097495
