address;LP wei;LP ether;ANTEX;SOY
0xbaea184b88a97385ed0c3d04518992d350da29b4;678952632786347070;0.6789526327863471;2084767.8003888333;2366.3300458928643
0x327f0b8f4c0cfa071e790ab8f64d7a713111a972;3758060929763128;0.003758060929763128;11539.36819733183;13.097839323340475
0x540a623c7ed0c09e1b3916a83d93f2f59d44ea89;217940662015861803;0.2179406620158618;669200.8435131455;759.5810250171047
0x635ae80892b5c7be0acda79bbac0f70057dd7598;2314499466647938;0.002314499466647938;7106.819723612652;8.066644659223947
0xca452e43201eb5dba105bb3937fc1bd540cdc1cd;897863848852124425;0.8978638488521244;2756948.792640039;3129.2937092540506
0x6461e9fa6efb2f2e569f5c73d8e6ad08180b6695;3741523157056055;0.003741523157056055;11488.587900791314;13.04020079811922
0x770ff38b15bec404286a922d560c0fbc62a047a9;294611856051481253;0.29461185605148127;904624.6843293321;1026.8004764778082
0xaac93c5e50e2d6da72171de3ed46557fc2c583dc;12669922637852172;0.012669922637852172;38903.813717331395;44.15804162073595
0x965f7fbe05e87d63dd460ee0fab64816ffb53c9a;5108326187204939;0.005108326187204939;15685.444660937277;17.803871959957817
0x5c300dbc6abf06c622b0a043425e158dea14e795;3106225169623182;0.003106225169623182;9537.864501404098;10.826018772506924
0x1c37db8ee00271d0abd6457a19b68770d360ec15;17512206415894;0.000017512206415894;53.77235802119229;0.06103468520586472
0xc0ea297fba1d5fd9c0a6fa5d3e5bc5e8c905dfca;350006;3.50006e-13;0.000001074715972082415;1.2198637637559692e-9
